epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3455.3,1.31062,0.6939,0.92949,0.8852,0.8852,0.91012,0.54682,1.35032,0.69065,0.95168,0.000338271,0.000338271,0.000338271
43,3536.69,1.3247,0.70358,0.93656,0.8868,0.88842,0.91445,0.54955,1.32416,0.68818,0.94572,0.000330381,0.000330381,0.000330381
44,3618.45,1.28969,0.69188,0.93075,0.89224,0.89532,0.91756,0.56315,1.31172,0.66244,0.94305,0.000322428,0.000322428,0.000322428
45,3699.79,1.29994,0.68546,0.93371,0.89515,0.87953,0.91156,0.55558,1.33382,0.68385,0.94227,0.000314418,0.000314418,0.000314418
46,3781.38,1.27422,0.68319,0.92385,0.89786,0.90005,0.9256,0.56573,1.32399,0.6573,0.9445,0.000306361,0.000306361,0.000306361
47,3862.62,1.28646,0.67418,0.92944,0.90561,0.89431,0.92054,0.57005,1.31615,0.65889,0.94443,0.000298263,0.000298263,0.000298263
48,3943.92,1.27737,0.67499,0.9265,0.90703,0.89756,0.91504,0.57591,1.29394,0.65442,0.94353,0.000290133,0.000290133,0.000290133
49,4025.52,1.25925,0.66052,0.92224,0.9072,0.90018,0.92317,0.57199,1.28685,0.63873,0.94295,0.000281979,0.000281979,0.000281979
50,4106.96,1.25196,0.65062,0.91688,0.89629,0.89524,0.91309,0.57489,1.29849,0.63666,0.94524,0.000273808,0.000273808,0.000273808
51,4187.71,1.24108,0.6392,0.9175,0.90095,0.89237,0.92389,0.57779,1.27301,0.64241,0.93548,0.00026563,0.00026563,0.00026563
52,4268.94,1.23441,0.63684,0.91491,0.89503,0.90636,0.91786,0.57571,1.29315,0.63497,0.94458,0.000257452,0.000257452,0.000257452
53,4349.67,1.23187,0.63854,0.91769,0.89623,0.90271,0.92459,0.589,1.26527,0.62783,0.9372,0.000249281,0.000249281,0.000249281
54,4431.19,1.22473,0.62547,0.9169,0.91139,0.90945,0.92952,0.58613,1.26949,0.6228,0.93331,0.000241127,0.000241127,0.000241127
55,4512.58,1.22506,0.63259,0.9172,0.91325,0.91476,0.93047,0.59104,1.26779,0.61421,0.93464,0.000232997,0.000232997,0.000232997
56,4593.86,1.20784,0.61946,0.91061,0.9079,0.90066,0.9328,0.59039,1.27319,0.63102,0.93026,0.000224899,0.000224899,0.000224899
57,4675.23,1.19257,0.60565,0.90744,0.90767,0.90838,0.92586,0.58239,1.28683,0.60857,0.94317,0.000216842,0.000216842,0.000216842
58,4756.74,1.18203,0.60369,0.91059,0.90618,0.90689,0.93408,0.59759,1.23836,0.61608,0.92332,0.000208832,0.000208832,0.000208832
59,4837.84,1.17051,0.59179,0.90319,0.90907,0.91313,0.93537,0.60204,1.24298,0.59615,0.9285,0.000200879,0.000200879,0.000200879
60,4918.95,1.15408,0.58452,0.90138,0.91252,0.91333,0.93408,0.59579,1.24864,0.6042,0.92897,0.000192989,0.000192989,0.000192989
